package;url;tags
asciiquarium;https://github.com/rgoring/asciiquarium;fun
ascii-image-converter-git;https://github.com/TheZoraiz/ascii-image-converter;image
kondo;https://github.com/tbillington/kondo
toipe;https://github.com/Samyak2/toipe;fun
wordgrinder;http://cowlark.com/wordgrinder;fun
inxi;https://github.com/smxi/inxi;system
lf;;filemanager
procs;https://github.com/dalance/procs;system
navi;https://github.com/denisidoro/navi;cheatsheet
mkcert;;dev
mpv;;player
croc;https://github.com/schollz/croc;share
docker
companion;https://github.com/bitfocus/companion;streamdeck
imv;https://sr.ht/~exec64/imv/;image
