group,required,name,packages,url
file-system,true,btrfs,btrfs-assistant;btrfs-progs;grub-btrfs;httm,
file-system,false,snapper,snapper;snapper-support,
network,true,bluetooth,bluez;bluez-utils,
audio,true,pipewire,pipewire;pipewire-pulse;wireplumber;rtkit;noise-suppression-for-voice;pulsemixer,
system,false,power-management,acpi;acpid;upower;power-profiles-daemon,
system,true,package-management,downgrade;topgrade,
apps,true,cli,zsh;exa;sed;bat;duf;inxi;man-pages;man-db;nano;neovim;gdu;btop;lnav;starship;ranger;ueberzug;tldr;brightnessctl;light;fd;neofetch;xdg-ninja-git,
dev,true,essentials,volta-bin;docker;git-delta;visual-studio-code-bin,
dev,false,extra,dbgate-bin;mkcert,
desktop,true,essentials,alacritty;font-manager;xdg-utils;ttf-nerd-fonts-symbols-2048-em;papirus-icon-theme;gnome-keyring;polkit-gnome;playerctl;ffmpeg;mpv,
desktop,true,browsers,microsoft-edge-stable-bin;firefox,
desktop,false,music-apps,spotify,
desktop,false,video-apps,mpv,
desktop,true,file-management,thunar-archive-plugin;thunar-media-tags-plugin;thunar-volman;file-roller;gvfs,
laptop,false,gestures,libinput-gestures,
DE,false,X11,mesa-utils;xorg-server;xf86-input-libinput;xorg-xdpyinfo;xorg-xinit;xorg-xinput;xorg-xrandr;xorg-xwininfo;wmctrl;xdotool;picom;xss-lock;xclip,
DE,false,awesomeWM,awesome-git;rofi;maim;feh;xss-lock;i3lock-color,
DE,false,wayland,wayland-protocols;gtk-layer-shell;qt6-wayland;xdg-desktop-portal-wlr;wl-clipboard;wf-recorder;grim;slurp;mako;wofi;wlogout;swaybg;swaylock,
DE,false,hyprland,hyprland;xdg-desktop-portal-hyprland-git;waybar-hyprland-git,
extra,false,grex,grex,https://github.com/pemistahl/grex
extra,false,pipr-git,pipr-git,https://github.com/elkowar/pipr
extra,false,ripgrep,ripgrep,https://github.com/BurntSushi/ripgrep
extra,false,croc,ripgrep,https://github.com/schollz/croc
extra,false,companion,companion,https://github.com/bitfocus/companion
extra,false,dbgate-bin,dbgate-bin,https://github.com/dbgate/dbgate
extra,false,asciiquarium,asciiquarium,https://github.com/rgoring/asciiquarium
extra,false,ascii-image-converter-git,ascii-image-converter-git,https://github.com/TheZoraiz/ascii-image-converter
extra,false,toipe,toipe,https://github.com/Samyak2/toipe
extra,false,wordgrinder,wordgrinder,http://cowlark.com/wordgrinder
extra,false,procs,procs,https://github.com/dalance/procs
extra,false,navi,navi,https://github.com/denisidoro/navi
desktop,false,X11,blabla;pouet,
